Instancia,tested_positive,tested_negative,Clase Asignada
1,4,3,tested_positive
2,3,4,tested_negative
3,0,7,tested_negative
4,0,7,tested_negative
5,2,5,tested_negative
6,3,4,tested_negative
7,1,6,tested_negative
8,2,5,tested_negative
9,3,4,tested_negative
10,2,5,tested_negative
11,5,2,tested_positive
12,5,2,tested_positive
13,2,5,tested_negative
14,1,6,tested_negative
15,1,6,tested_negative
16,0,7,tested_negative
17,2,5,tested_negative
18,5,2,tested_positive
19,1,6,tested_negative
20,2,5,tested_negative
21,3,4,tested_negative
22,3,4,tested_negative
23,0,7,tested_negative
24,2,5,tested_negative
25,3,4,tested_negative
26,3,4,tested_negative
27,0,7,tested_negative
28,6,1,tested_positive
29,2,5,tested_negative
30,6,1,tested_positive
31,6,1,tested_positive
32,6,1,tested_positive
33,1,6,tested_negative
34,2,5,tested_negative
35,1,6,tested_negative
36,1,6,tested_negative
37,1,6,tested_negative
38,7,0,tested_positive
39,1,6,tested_negative
40,5,2,tested_positive
41,3,4,tested_negative
42,1,6,tested_negative
43,6,1,tested_positive
44,1,6,tested_negative
45,3,4,tested_negative
46,2,5,tested_negative
47,0,7,tested_negative
48,5,2,tested_positive
49,6,1,tested_positive
50,1,6,tested_negative
51,1,6,tested_negative
52,0,7,tested_negative
53,1,6,tested_negative
54,1,6,tested_negative
55,6,1,tested_positive
56,1,6,tested_negative
57,1,6,tested_negative
58,1,6,tested_negative
59,2,5,tested_negative
60,3,4,tested_negative
61,3,4,tested_negative
62,2,5,tested_negative
63,4,3,tested_positive
64,4,3,tested_positive
65,0,7,tested_negative
66,1,6,tested_negative
67,0,7,tested_negative
68,4,3,tested_positive
69,2,5,tested_negative
70,3,4,tested_negative
71,1,6,tested_negative
72,1,6,tested_negative
73,0,7,tested_negative
74,1,6,tested_negative
75,1,6,tested_negative
76,0,7,tested_negative
77,0,7,tested_negative
78,5,2,tested_positive
79,0,7,tested_negative
80,0,7,tested_negative
81,2,5,tested_negative
82,1,6,tested_negative
83,4,3,tested_positive
84,2,5,tested_negative
85,2,5,tested_negative
86,1,6,tested_negative
87,1,6,tested_negative
88,0,7,tested_negative
89,2,5,tested_negative
90,0,7,tested_negative
91,1,6,tested_negative
92,0,7,tested_negative
93,4,3,tested_positive
94,5,2,tested_positive
95,1,6,tested_negative
96,2,5,tested_negative
97,1,6,tested_negative
98,3,4,tested_negative
99,3,4,tested_negative
100,2,5,tested_negative
